ZIP,City,County (Verified),Population,Nearest Crematory,Distance,Tier,,,,
92301,Adelanto,San Bernardino,"32,725",SCC (Lake Elsinore),67.1,Tier 2,,,,
93041,Port Hueneme,Ventura,"15,621",Anubis LA,67.4,Tier 2,,,,
92332,Essex,San Bernardino,65,Anubis (Palm Springs),100.3,Outside 100,,,,
92280,Vidal,San Bernardino,14,Anubis (Palm Springs),103.2,Outside 100,,,,
92225,Blythe,Riverside,"24,310",Anubis (Palm Springs),108.4,Outside 100,,,,
93558,Red Mountain,San Bernardino,125,SCC (Lake Elsinore),115.8,Outside 100,,,,
92364,Nipton,San Bernardino,90,Anubis (Palm Springs),120.7,Outside 100,,,,
92363,Needles,San Bernardino,"5,321",Anubis (Palm Springs),127.6,Outside 100,,,,
92242,Earp,San Bernardino,"1,539",Anubis (Palm Springs),129.5,Outside 100,,,,
93555,Ridgecrest,San Bernardino,"32,560",SCC (Lake Elsinore),134.1,Outside 100,,,,
92267,Parker Dam,San Bernardino,126,Anubis (Palm Springs),138.1,Outside 100,,,,
93562,Trona,San Bernardino,"1,818",Anubis (Palm Springs),138.7,Outside 100,,,,
91320,Thousand Oaks,Ventura,"33,272",Anubis LA,53.1,Tier 1,,,,
91360,Thousand Oaks,Ventura,"38,209",Anubis LA,49.1,Tier 1,,,,
92308,Apple Valley,San Bernardino,"39,837",SCC (Lake Elsinore),51.9,Tier 2,,,,
92395,Victorville,San Bernardino,"42,400",SCC (Lake Elsinore),56.2,Tier 2,,,,
93501,Mojave,Kern,"6,044",Anubis LA,88.5,Tier 3,,,,
93225,Frazier Park,Kern,"10,606",Anubis LA,81.7,Tier 3,,,,
92392,Victorville,San Bernardino,"54,858",SCC (Lake Elsinore),54.9,Tier 2,,,,
92394,Victorville,San Bernardino,"33,237",SCC (Lake Elsinore),60,Tier 2,,,,
92307,Apple Valley,San Bernardino,"37,630",Anubis (Palm Springs),60.5,Tier 2,,,,
93001,Ventura,Ventura,"16,519",Anubis LA,98.1,Tier 3,,,,
93560,Rosamond,Kern,"11,594",Anubis LA,71.2,Tier 3,,,,
92368,Oro Grande,San Bernardino,"1,113",SCC (Lake Elsinore),66.6,Tier 2,,,,
91917,Dulzura,San Diego,"1,126",SCC,80.5,Tier 0,,,,
93021,Moorpark,Ventura,"9,163",Anubis LA,50.9,Tier 1,,,,
91963,Potrero,San Diego,"1,182",Anubis PS,81.7,Tier 0,,,,
93022,Oak View,Ventura,"8,225",Anubis LA,83.8,Tier 3,,,,
93023,Ojai,Ventura,"12,472",Anubis LA,84.3,Tier 3,,,,
93505,California City,Kern,"12,444",Anubis LA,98.1,Tier 3,,,,
93252,Maricopa,Kern,"6,034",Anubis LA,92.3,Tier 3,,,,
91980,Tecate,San Diego,145,SCC,84.1,Tier 0,,,,
91934,Jacumba Hot Springs,San Diego,"1,256",Anubis PS,84.7,Tier 0,,,,
92342,Helendale,San Bernardino,"6,379",SCC (Lake Elsinore),73.9,Tier 3,,,,
92338,Ludlow,San Bernardino,12,Anubis (Palm Springs),67,Tier 2,,,,
92239,Desert Center,Riverside,223,Anubis (Palm Springs),62.4,Tier 2,,,,
93065,Simi Valley,Ventura,"9,630",Anubis LA,42.8,Tier 1,,,,
93013,Carpinteria,Santa Barbara,"10,727",Anubis LA,97.7,Tier 3,,,,
92304,Amboy,San Bernardino,17,Anubis (Palm Springs),70,Tier 3,,,,
92365,Newberry Springs,San Bernardino,"2,637",Anubis (Palm Springs),72.1,Tier 3,,,,
93516,Boron,Kern,"2,299",Anubis LA,92.5,Tier 3,,,,
93561,Tehachapi,Kern,"9,301",Anubis LA,91.7,Tier 3,,,,
92327,Daggett,San Bernardino,632,Anubis (Palm Springs),71.5,Tier 3,,,,
92398,Yermo,San Bernardino,"1,379",Anubis (Palm Springs),74.6,Tier 3,,,,
92233,Calipatria,Imperial,"27,197",Anubis PS,93.3,Tier 3,,,,
93063,Simi Valley,Ventura,"55,713",Anubis LA,35.6,Tier 1,,,,
91377,Oak Park,Ventura,"13,559",Anubis LA,38.3,Tier 1,,,,
92311,Barstow,San Bernardino,"31,894",Anubis (Palm Springs),81.1,Tier 3,,,,
92281,Westmorland,Imperial,"27,861",Anubis PS,99.7,Tier 3,,,,
92347,Hinkley,San Bernardino,"1,692",Anubis (Palm Springs),84.8,Tier 3,,,,
92310,Fort Irwin,San Bernardino,"8,845",Anubis (Palm Springs),97.2,Tier 3,,,,
93203,Arvin,Kern,"20,425",Anubis LA,98.6,Tier 3,,,,
92257,Niland,Imperial,756,Anubis (Palm Springs),77,Tier 3,,,,
93534,Lancaster,Los Angeles,43906,Anubis LA,55.8,Tier 2,,,,
93535,Lancaster,Los Angeles,82149,Anubis LA,60,Tier 2,,,,
93536,Lancaster,Los Angeles,74283,Anubis LA,57.1,Tier 2,,,,
93243,Lancaster,Los Angeles,900,Anubis LA,57.1,Tier 2,,,,
